Name,Description,Cuisine,Hours,Good for,Address,Price,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mookata (Katong),"Ever gone for a barbecue and came home smelling like smoked meat? For too long, we've taken that aroma as part and parcel of the whole barbecue experience. Well, here's a barbecue restaurant that aims to change that. The first of its kind in Singapore, Mookata has a dedicated exhaust system that promises to give you all that smoky flavour you want in your food, but with much less odour.
What this means is that you can enjoy succulent grilled meat and seafood in pleasant comfort. Mookata, or Thai barbecue, is known for its well-marinated meat. Mookata at Katong takes this especially seriously, taking care to fine-tune its menu in such a way that your tastebuds get to explore the five fundamental flavors of spicy, sour, sweet, salty, and bitter. Mookata’s spread of authentic traditional Thai dishes is varied and well thought through. The star, of course, is their specially marinated meat that is best enjoyed with their special range of home-made chilli dipping sauces. At the end of your meal, wash down all the food with Mookata’s special Thai Ice Tea. It is sweet and refreshing, a great finish to a fabulous, odour-free meal. For a barbecue experience that doesn't leave its mark on your clothes, this is definitely the place to go to. (Nov 2016)","Thai, BBQ",Mon-Thu: 5pm-12amFri: 5pm-1amSat: 12pm-1amSun: 12pm-12am,"Casual Dining, Kid Friendly, Large Parties (16+)",103 East Coast RoadSingapore (428797),$$,https://static.chope.co/uploads/2016/11/Mookata_Katong_Seafood_jpg_1478706803.jpg https://static.chope.co/uploads/2016/11/Mookata_Katong_Vegetables_jpg_1478706802.jpg https://static.chope.co/uploads/2016/11/Mookata_Katong_Seafood_and_Mea_1478706803.jpg https://static.chope.co/uploads/2016/11/Mookata_Katong_Dining_Area_jpg_1478706803.jpg https://static.chope.co/uploads/2016/11/Mookata_Katong_Food_Spead_jpg_1478706803.jpg https://static.chope.co/uploads/2016/11/Mookata_Katong_jpg_1478706803.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mookata (Yishun),"Ever gone for a barbecue and came home smelling like smoked meat? For too long, we've taken that aroma as part and parcel of the whole barbecue experience. Well, here's a barbecue restaurant that aims to change that. The first of its kind in Singapore, Mookata has a dedicated exhaust system that promises to give you all that smoky flavour you want in your food, but with much less odour.
What this means is that you can enjoy succulent grilled meat and seafood in pleasant comfort. Mookata, or Thai barbecue, is known for its well-marinated meat. Mookata at Yishun takes this especially seriously, taking care to fine-tune its menu in such a way that your tastebuds get to explore the five fundamental flavors of spicy, sour, sweet, salty, and bitter. Mookata’s spread of authentic traditional Thai dishes is varied and well thought through. The star, of course, is their specially marinated meat that is best enjoyed with their special range of home-made chilli dipping sauces. At the end of your meal, wash down all the food with Mookata’s special Thai Ice Tea. It is sweet and refreshing, a great finish to a fabulous, odour-free meal. For a barbecue experience that doesn't leave its mark on your clothes, this is definitely the place to go to. (Nov 2016)","Thai, BBQ",Mon-Thu: 5pm-12amFri: 5pm-1amSat: 12pm – 1amSun: 12pm – 12am,"Al Fresco, Casual Dining, Kid Friendly, Large Parties (16+)",81 Lorong Chencharu#01-04Singapore (769198),$$,https://static.chope.co/uploads/2016/11/Mookata_Orto_Seafood_and_Meat__1478706511.jpg https://static.chope.co/uploads/2016/11/Mookata_Orto_Seafood_jpg_1478706511.jpg https://static.chope.co/uploads/2016/11/Mookata_Orto_Vegetables_jpg_1478706511.jpg https://static.chope.co/uploads/2016/11/Mookata_Orto_Dining_Area_jpg_1478706511.jpg https://static.chope.co/uploads/2016/11/Mookata_Orto_Food_Spread_jpg_1478706511.jpg https://static.chope.co/uploads/2016/11/Mookata_Orto_Food_Spead_jpg_1478706511.jpg https://static.chope.co/uploads/2016/11/Mookata_Orto_Exterior_jpg_1478706512.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooks Thai Bistro,"There are plenty of Thai restaurants in Singapore, but few can offer the innovative dishes that Mooks does. Look past your run of the mill Green Curry and Tom Yum Soup, Mooks draws on ingredients from other cuisines to create drool-worthy dishes using traditional Thai techniques. With its inviting atmosphere and pocket-friendly prices, this is the perfect place to take your friends for a catch-up session over lunch or dinner.

Dig into the crowd favourite dishes like Mooks Marmite Chicken - a dish of chicken seasoned with fermented yeast and deep fried. Crunchy, salty, and piping hot, this treat is best enjoyed with a beer. Take advantage of their extended happy hour and grab a pint at half-price before 9pm on weekdays! Diners who prefer non-alcoholic beverages have the option of the ever-popular Thai Iced Milk Tea, as well as a range of fruit teas.

Mooks Forest Spicy Curry is the perfect option for adventurous diners. Available in chicken, beef, or pork, this curry is flavoured with traditional ingredients like lemongrass and red chilli. Customise your portion according to the size of your group - this curry can serve up to four people, and is best enjoyed with a bowl of steamed rice to beat the heat. (Oct 2018)",Thai,Mon-Sun: 10am-12am,"Casual Dining, Kid Friendly, Drinks, Large Parties (16+)",2 Bukit Batok West Avenue 7#01-09BHometeam NS ClubhouseSingapore (659003),$$,https://static.chope.co/uploads/2018/09/SG_Mooks_Thai_Bistro_Mains_and_1537968249.jpeg https://static.chope.co/uploads/2018/09/SG_Mooks_Thai_Bistro_Tom_Yum_F_1537968249.jpeg https://static.chope.co/uploads/2018/09/SG_Mooks_Thai_Bistro_Calamari__1537968249.jpeg https://static.chope.co/uploads/2018/09/SG_Mooks_Thai_Bistro_Interior__1537968249.jpeg https://static.chope.co/uploads/2018/09/SG_Mooks_Thai_Bistro_Fried_chi_1537968249.jpeg https://static.chope.co/uploads/2018/09/SG_Mooks_Thai_Bistro_Glass_noo_1537968249.jpeg https://static.chope.co/uploads/2018/09/SG_Mooks_Thai_Bistro_Thai_Praw_1537968249.jpeg https://static.chope.co/uploads/2018/09/SG_Mooks_Thai_Bistro_Interior__15379682491.jpeg https://static.chope.co/uploads/2018/09/SG_Mooks_Thai_Bistro_Tom_Yum_S_1537968249.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moosehead Kitchen & Bar,Enjoy 1-for-1 mains when you book through the Chope app or website to dine in August & September! Please use the promo code CEMH19 when making your reservation to enjoy this exclusive.,Modern European,"Mon-Fri: 11:30am-2:30pm, 6-10:30pmSat: 11am-2:30pm, 6-10:30pmClosed Sunday","Al Fresco, Business Meetings, Casual Dining, Drinks, Romantic Dates","110 Telok Ayer Street,Singapore (068579)",$$$,https://static.chope.co/uploads/2017/02/Moosehead_Ricotta_Fried_Artichoke_Bottarga_2_jpg_1486525890.jpg https://static.chope.co/uploads/2018/02/Moosehead_Reuben_Sandwich_jpg_1517890392.jpg https://static.chope.co/uploads/2019/05/SG_Moosehead_Mackerel_jpg_1557974757.jpg https://static.chope.co/uploads/2018/02/Moosehead_BBQ_Pulled_Pork_Sandwich_jpg_1519128089.jpg https://static.chope.co/uploads/2017/06/Moosehead_Interior_jpg_1498731667.jpg https://static.chope.co/uploads/2018/02/Moosehead_Spicy_Tuna_Quinoa_Bowl_jpg_1517889683.jpg https://static.chope.co/uploads/2017/06/Moosehead_Pork_Belly_jpg_1498731658.jpg https://static.chope.co/uploads/2017/06/Moosehead_Roasted_Cauliflower_jpg_1498731577.jpg https://static.chope.co/uploads/2018/02/Moosehead_Banana_Ice_Cream_jpg_1519128119.jpg https://static.chope.co/uploads/2016/03/Moosehead_Interior_jpg_1458637073.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morettino Italian Café & Bistro,"Nestled snugly in a corner of 100AM mall in the Tanjong Pagar neighbourhood, Morettino Italian Café & Bistro is a great spot to relax and recharge after shopping. Here, the service is friendly, the food is honest, and the coffee is strong. You can’t go wrong with good Italian cheeses, and you see this in simple fare like the Cornetto panini. It is a delight to tuck into - generous shavings of cooked ham and smoked scamorza cheese encased in buttery layers of baked croissant. The Casanova does its part to charm as well, combining cream cheese and a light brie with fresh greens and sun-kissed tomatoes for that burst of juiciness. No meal here is complete without a coffee from the espresso bar — a double will keep you fit for shopping, or get a foamy cappuccino if you’re looking to linger for a while. (Jan 2019)","Bar, Italian, Cafe",Mon-Sun: 9am-10pm,"Business Meetings, Casual Dining, Kid Friendly, Quiet Dinner, Large Parties (16+)",100 Tras Street#01-04100 AMSingapore (079027),$$,https://static.chope.co/uploads/2018/10/SG_Morettino_Cafe_Coffee_Edite_1539169976.jpg https://static.chope.co/uploads/2018/10/SG_Morettino_Cafe_Flat_White_E_1539169976.jpg https://static.chope.co/uploads/2018/10/SG_Morettino_Cafe_Interior_Edi_1539169976.jpg https://static.chope.co/uploads/2018/11/Bruschetta_jpg_1541127800.jpg https://static.chope.co/uploads/2018/10/SG_Morettino_Cafe_Interior_2_Edited_jpg_1539240371.jpg https://static.chope.co/uploads/2018/10/SG_Morettino_Cafe_Interior_3_E_1539169975.jpg https://static.chope.co/uploads/2018/10/SG_Morettino_Cafe_Shopfront_Ed_1539169975.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morsels,"Located in the lush greenery of Dempsey Hill, this restaurant has all the makings of a chilled out hangout spot away from the hustle and bustle of the city. The interior of this restaurant is almost as green as its exterior, with hanging plants, repurposed wooden furniture, and wood panelling reminiscent of a weatherboard cottage.

This restaurant has won many accolades throughout the years and has gained an experience for their excellent food, and it’s not difficult to see why. Chef-Owner Petrina Loh draws on her childhood for inspiration for her dishes, and has created sharing platters of fusion cuisine that feature the perfect balance of flavours.

Diners looking for a unique dish can try the Pork Jowl Char Siew Wonton Mee. Made with tender, locally sourced pork jowl, herbal soy sauce, pork and kimchi wontons, and a fiery jalapeño chilli sauce, this dish seamlessly incorporates the spice of Korean and Latin American cuisine into a dish that is uniquely Singaporean.

Looking for a unique treat to end your meal? Look no further than the Jackfruit Banana Cake. Made with chunks of fragrant jackfruit and sweet banana, and topped with Mugi miso meringue and drizzled with chocolate sauce, this dish is deliciously sweet without being cloying, and the perfect dessert to end an excellent meal.

Ultimately, while Chef Petrina's culinary pedigree is nothing to sniff at, with Le Cordon Bleu and a stint at HUSK in Nashville under her belt, it's really the intimate hospitality and innovative courses that will keep you coming back, time and time again, for more. (Oct 2018)",Fusion,"Tue-Thu: 12-3pm, 6-10pmFri-Sat: 12-3pm, 6-10:30pmSun: 11am-3pmClosed Monday","Casual Dining, Drinks, Private Functions, Romantic Dates",25 Dempsey Road#01-04Singapore (249670),$$$$,https://static.chope.co/uploads/2019/05/Morsels_Oysters_Green_Mango_Ch_1556872997.jpg https://static.chope.co/uploads/2019/05/Morsels_Lacto_Organic_Chicken__1556872997.jpg https://static.chope.co/uploads/2019/05/Morsels_Aged_Jobfish_jpg_1556872685.jpg https://static.chope.co/uploads/2019/05/Morsels_Kurobuta_Pork_jpg_1556872870.jpg https://static.chope.co/uploads/2018/08/TORIYAMA_PETAI_UME_SAMBAL_jpg_1534732499.jpg https://static.chope.co/uploads/2019/05/Morsels_Sake_Kasu_Panna_Cotta__1556872997.jpg https://static.chope.co/uploads/2018/10/MORSELS_DINING_ROOM_FROM_KITCH_1540210915.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morton's The Steakhouse,"Situated smack dab in the middle of the Commercial and Central Business District, Morton's The Steakhouse in Mandarin Oriental is the truest and bluest steakhouse Singapore has to offer. Not skimping on any detail, everything from the succulent steaks and fresh seafood to the vast wine collection and seamless service reiterate the classic and exceptional dining experience Morton's is widely known for.
As mentioned, no detail is overlooked and this is clearest when glancing at the menu. Serving the best available aged grain-fed beef, such as the must-try 48-ounce (1300g) Porterhouse and 20-ounce (550g) New York Sirloin, as well as fresh fish, Maine Lobster,  and lamb chops - the menu offers generous portions of it all.
Equally renowned for their extensive wine list, the bar at Morton's is one of our favourite post-work spots to grab a drink, indulge in bar bites like their Blue Cheese Steak Fries, and loosen up after a long day at work! (Apr 2016)","American, Bar, Steakhouse, Vegetarian Friendly, Cajun",Mon-Sat: 5:30-11pmSun: 12-9pm,"Business Meetings, Fine Dining, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates",5 Raffles Avenue4th FloorMandarin Oriental SingaporeSingapore (039797),$$$$$,https://static.chope.co/uploads/2016/04/Morton_s_Porterhouse_jpg_1459949228.jpg https://static.chope.co/uploads/2016/04/Morton_s_Ocean_Platter_jpg_1459949228.jpg https://static.chope.co/uploads/2016/04/Morton_s_Million_Dollar_Burger_1459949228.jpg https://static.chope.co/uploads/2016/04/Morton_s_Main_Dining_Hall_1_jp_1459949228.jpg https://static.chope.co/uploads/2017/09/Morton_s_Bacon_Onion_Macaroni__1506655147.jpg https://static.chope.co/uploads/2016/04/Morton_s_USDA_Bone_In_Ribeye_j_1459949229.jpg https://static.chope.co/uploads/2016/04/Morton_s_Centre_Cut_Filet_Mign_1459949228.jpg https://static.chope.co/uploads/2016/04/Morton_s_Private_Dining_Room_j_1459949229.jpg https://static.chope.co/uploads/2016/04/Morton_s_Key_Lime_Pie_jpg_1459949228.jpg https://static.chope.co/uploads/2016/04/Morton_s_Legendary_Hot_Chocola_1459949228.jpg https://static.chope.co/uploads/2016/04/Morton_s_Bar_Area_jpg_1459949229.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorino,"Being a pizza fan in Singapore hasn’t always been easy, so you could bet a pretty penny that when we found out about Motorino we were all over it! Bringing authentic New York cheesy pies to Clarke Quay, this pizzeria is a nod to everything Frank Sinatra, Jay-Z, Alicia Keys, and Taylor Swift have ever sang about!
Reflecting on their Brooklyn roots, Motorino combines the simple, no-nonsense function of a Neapolitan pizzeria with typical New York architectural features to bring signatures like mouth-watering Motorino’s Meatballs, the delicious Brussel Sprouts and Smoked Bacon Pizza (a personal favourite), and the melt-in-your-mouth Cremini Mushroom & Sausage Pizza.
Let’s just say, the Big Apple boys are reshaping the Singapore pizza landscape forever and if you haven’t already indulged in one of their cheesy creations - you’re missing out! (Sep 2015)","Italian, Vegetarian Friendly",Mon-Sun: 11:30am-11pm,"Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Pet Friendly, Private Functions, Quiet Dinner, Romantic Dates","3A River Valley Road #01-01A,Clarke QuaySingapore (179020)",$$,https://static.chope.co/uploads/2015/09/Buratta_and_Tomato_jpg_1442915330.jpg https://static.chope.co/uploads/2015/09/Pizza_jpg_1442915330.jpg https://static.chope.co/uploads/2015/11/Roasted_Chicken_Wings_jpg_1446791628.jpg https://static.chope.co/uploads/2015/09/Marinara_Pizza_jpg_1442400175.jpg https://static.chope.co/uploads/2015/09/Clams_jpg_1442300785.jpg https://static.chope.co/uploads/2015/09/Interior_jpg_1442300786.jpg https://static.chope.co/uploads/2015/09/Meatballs_jpg_1442300785.jpg https://static.chope.co/uploads/2015/09/Brussel_Sprout_and_Bacon_Pizza_jpg_1442400183.jpg https://static.chope.co/uploads/2015/09/interior_jpg_1442915330.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mpire Restaurant & Bar,"Situated along Amoy street, Mpire Restaurant & Bar aims to create a chill dining experience with its western-fusion dine & bar concept. Top off your meal with their cool craft beers straight from the tap and take a tour in their very own private chiller room where they store their collection of wine in a well-controlled environment. (Jun 2019)","Bar, Fusion, Burgers",Mon-Thu: 11am-10:30pmFri & PH Eve: 11-12amSat & PH: 4-11pmClosed Sunday,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates",77 Amoy StreetSingapore (069896),$$,https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Beer_B_1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Citrus_1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Classi_1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Crab_C_1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_fresh__1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Great__1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Mozzar_1561463726.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Pan_Se_1561463726.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Slow_r_1561463726.jpg https://static.chope.co/uploads/2019/06/Untitled_16_jpg_1561463726.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mpire Restaurant & Bar,"Situated along Amoy street, Mpire Restaurant & Bar aims to create a chill dining experience with its western-fusion dine & bar concept. Top off your meal with their cool craft beers straight from the tap and take a tour in their very own private chiller room where they store their collection of wine in a well-controlled environment. (Jun 2019)","Bar, Fusion, Burgers",Mon-Thu: 11am-10:30pmFri & PH Eve: 11-12amSat & PH: 4-11pmClosed Sunday,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates",77 Amoy StreetSingapore (069896),$$,https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Beer_B_1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Citrus_1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Classi_1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Crab_C_1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_fresh__1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Great__1561463725.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Mozzar_1561463726.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Pan_Se_1561463726.jpg https://static.chope.co/uploads/2019/06/SG_Mpire_Restaurant_Bar_Slow_r_1561463726.jpg https://static.chope.co/uploads/2019/06/Untitled_16_jpg_1561463726.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Punch Public House,"Enjoy up to 45% off at Mr Punch Public House when you purchase vouchers from ChopeDeals. Vouchers are not valid with 'Chope Exclusives', other discounts and promotions.
Click here to purchase.","Bar, Modern European",Mon-Thu & PH: 3pm-11:30pmFri & Eve of PH: 3pm-1amSat: 12-11:30pmClosed Sunday,"Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions, Quiet Dinner",26 Seah StreetSingapore (188382),$$,https://static.chope.co/uploads/2019/02/Seared_Tuna_Saku_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Basement_Area_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Duck_Ragu_Tagliatelle_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Punch_Cocktail_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Rooftop_Bar_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Tender_Pork_Belly_jpg_1551166099.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Punch Public House,"Enjoy up to 45% off at Mr Punch Public House when you purchase vouchers from ChopeDeals. Vouchers are not valid with 'Chope Exclusives', other discounts and promotions.
Click here to purchase.","Bar, Modern European",Mon-Thu & PH: 3pm-11:30pmFri & Eve of PH: 3pm-1amSat: 12-11:30pmClosed Sunday,"Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions, Quiet Dinner",26 Seah StreetSingapore (188382),$$,https://static.chope.co/uploads/2019/02/Seared_Tuna_Saku_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Basement_Area_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Duck_Ragu_Tagliatelle_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Punch_Cocktail_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Rooftop_Bar_jpg_1551166099.jpg https://static.chope.co/uploads/2019/02/Tender_Pork_Belly_jpg_1551166099.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Muffinry/At Night,"Having started off selling baked treats, this bakery, cafe and bar has since expanded to offer savoury items including quiches, salads, sandwiches and more, all of which are proudly made in-house. Step in and be welcomed by the aroma of freshly baked bread and blended coffees.
The second and mezzanine floors exude a cosy and warm atmosphere, the perfect place to escape the hustle and bustle of the city. (Jun 2019)","Fusion, Cafe",Mon-Sat: 7am-10:30pmClosed Sunday,"Al Fresco, Casual Dining, Private Functions, Large Parties (16+)",112 Telok Ayer StreetSingapore (068581),$$,https://static.chope.co/uploads/2019/06/SG_TheMuffinry_Muffins1_jpg_1561542864.jpg https://static.chope.co/uploads/2019/06/SG_TheMuffinry_Pesto_Chicken_S_1561542864.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray Terrace Brasserie,"Named after the 1929 moniker for this spot, this all-day venue is the perfect place for a casual catch-up with friends and family. Housed within the classy and culturally significant Six Senses complex close to the bustle of Orchard Road, this is the perfect place to unwind in an upscale setting with other well-heeled diners in the area.

The dishes here are created with the health conscious in mind - with a focus on sustainably farmed seafood, grass-fed beef, and organic poultry, which is incorporated into most dishes. This means that diners can indulge in the Southern European menu guilt-free! The extensive wine pairings available are sure to thrill keen barflies.

Start with the rich Avocado Tartine - a delicious dish of avocado sliced and served atop bread and topped with crisp bacon rashers. For something a little lighter, opt for the Acai Berry Bowl - this restaurants take on the cafe classic. Made with a creamy acai berry blend topped with banana and granola and served beautifully, this dish is both delicious and Instagram-friendly. For something a little more tart, the Vine Tomato and Watermelon Salad is perfect. The mix of sweet watermelon and tangy, juicy tomato offers respite from the heat of Singapore. (Dec 2018)",Modern European,Sun-Mon: 6:30-10:30amTue-Sat: 11:30am-10:30pm,"Business Meetings, Drinks, Romantic Dates",20 Cook StreetSix Senses MaxwellSingapore (078857),$$$$,https://static.chope.co/uploads/2018/12/SG_Murray_Terrace_Brasserie_Br_1544610824.jpg https://static.chope.co/uploads/2018/12/SG_Murray_Terrace_Brasserie_In_1544610824.jpg https://static.chope.co/uploads/2018/12/VM_Edited_jpg_1545631455.jpg https://static.chope.co/uploads/2018/12/Organic_Garden_V_Edited_jpg_1545631819.jpg https://static.chope.co/uploads/2019/01/Interior_Copy_jpg_1547116445.jpg https://static.chope.co/uploads/2019/01/Private_Dining_jpg_1547116445.jpg https://static.chope.co/uploads/2019/01/Wine_Table_Copy_jpg_1547116445.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Little Spanish Place (Boat Quay),"My Little Spanish Place, one of Singapore's first Spanish restaurants, has setup its second home-style space in town. Housed at the ground level of a conservation shophouse along the Boat Quay riverside, guests can now have a taste of Spanish 'meson' dining right in the heart of the CBD.
With its new location by the waters, the My Little Spanish Place chef duo, Chefs Maria Sevillano and Edward Esmero, naturally looked to the Balearic Islands - anarchipelago made up of 4 islands, the well-known clubbing destination Ibiza, Majorca, Minorca and Formentera. The brand new menu offers dishes inspired by new regions previously not explored. (Aug 2015)",Spanish,"Mon-Sa & PH: 12-2:30pm, 5pm-12amClosed Sunday","Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates","54 Boat Quay,Singapore (049843)",$$$,https://static.chope.co/uploads/2015/08/Bone_Marrow_jpg_1438827478.jpg https://static.chope.co/uploads/2015/08/Food_Shot_jpg_1438827478.jpg https://static.chope.co/uploads/2015/08/Prawns_jpg_1438827479.jpg https://static.chope.co/uploads/2015/08/Interior_jpg_1438827479.jpg https://static.chope.co/uploads/2015/08/Sausages_jpg_1438827479.jpg https://static.chope.co/uploads/2015/08/Seafood_Pan_jpg_1438827479.jpg https://static.chope.co/uploads/2015/08/Smoked_Meat_jpg_1438827479.jpg https://static.chope.co/uploads/2015/08/Interior_2_jpg_1438827479.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Little Spanish Place (Bukit Timah),"Newly renovated and with a new chef sharing the helm, My Little Spanish Place is once again right at the forefront of the Spanish culinary wave that has left Singaporeans in a tizzy. Chef Edward Esmero joins Chef Maria Sevillano in the kitchen and promises to bring a completely new perspective to the cuisine that has so quickly settled as one of our island's favourites.
There is still a strong focus on authentic, home-cooked style dishes, and the new revamped menu combines old favourites with new ones. Simple, classic favourites like the Pulpo de la Casa (grilled fresh octopus seasoned with pimenton, sea salt, and olive oil) or the Chuletillas de Cordero ($32), pan-fried cutlets of milk-fed lamb with a garlic white wine reduction, are exactly reminiscent of the local fare in the countryside regions of Spain. The team is also introducing a brunch menu that's only available on Saturdays, Sundays, and public holidays (till 3pm) that include a Spanish version of the classic ham and eggs! Considering the general quality of Spanish ham, that sounds amazing to us!
 Chef Edward shares that My Little Spanish Place aims to be somewhere friends and family can bond over a good meal, so round up those friends and family members! Any excuse for a good meal works for us! (Aug 2013)",Spanish,"Tue-Fri: 6:30-11pmSat-Sun, PH: 9:30am-3pm, 6:30-11pmClosed Monday","Casual Dining, Drinks, Large Parties (16+)","619 Bukit Timah Road, Singapore (269720)",$$$$,https://static.chope.co/uploads/2013/08/mslp_paella_jpg_1376993649.jpg https://static.chope.co/uploads/2013/08/mslp_interior_jpg_1376993553.jpg https://static.chope.co/uploads/2012/05/mlsp_Interior_window_seating_jpg_1338359659.jpg https://static.chope.co/uploads/2013/08/mslp_jamon_jpg_1376993706.jpg https://static.chope.co/uploads/2013/08/mslp_dessert_jpg_1376993771.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Little Tapas Bar,"Tucked in along lively Ann Siang Road, My Little Tapas Bar is a cheeky newcomer in Singapore's love affair with Spanish tapas. With simple, classic fare done as the Spanish do - as an accompaniment to long, lovely evenings filled with wine and laughter - My Little Tapas bar is sure to steal your heart.
Taking a more authentic approach to tapas than usual, per its sister restaurant My Little Spanish Place, this tapas bar is all about the bona fide, Iberian originals - an all-Spanish wine list, five types of jamones carved-to-order, Spanish cheeses and only the most fundamental of Spanish snacks. The interior features rough-hewn woody tones and modern touches like bare bulbs. Spanish flare is evident in vintage posters, bullfighter-red napkins and rope accents that recall a traditional torero. The wine list is concise and convincing, each entry boasting its high Robert Parker and (Spanish equivalent) GUIA Penin scores, so you know that your choice will be a great one.
The cuisine is so classic and restrained that you can taste each ingredient that went into the dish. Andalusian flatbread features caramelized onions, piquillo peppers and a rioja reduction over grilled bread. The gambas are seasoned with smoky paprika and garlic, creating slurry so tasty that we recommend digging down into the dish long after the prawns are gone. For dessert, try the Chocolate Tart served with a traditional meringue sorbet with flavours of cinnamon. In all, My Little Tapas Bar's disarmingly chic combination of modern decor, warm vibe and delicious food has it poised to become your little tapas bar. (Mar 2014)","Bar, Spanish","Mon-Fri: 11:30am-2:30pm, 5pm-12amSat & Sun: 6pm-12am","Casual Dining, Drinks, Private Functions",14 Ann Siang RoadSingapore (069694),$$$,https://static.chope.co/uploads/2016/10/Tabla_de_Jamones_jpg_1476165860.jpg https://static.chope.co/uploads/2016/10/MLTB_Interior_jpg_1476165719.jpg https://static.chope.co/uploads/2015/03/mltb_jpg_1425280886.jpg https://static.chope.co/uploads/2016/10/MLTB_Main_Dining_Area_jpg_1476165742.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
